"Stanje","Pregledi","Cijena","Proizvodjac","Model","Gorivo","Godiste","Transmisija","Kilometraza","Kubikaza","Snaga motora (KW)","Broj vrata"
"Koristeno","555","","Renault","Kadjar","Dizel","2017","Automatik","80000","1.5","81","4/5"
"Koristeno","1926","68000","BMW","X5","Dizel","2014","Automatik","226000","3.0","230","4/5"
"Koristeno","179","21800","Volkswagen","Golf","Dizel","2016","Manuelni","197000","1.6","81","4/5"
"Koristeno","5981","24300","Volkswagen","Passat","Dizel","2011","Automatik","227000","2.0","103","4/5"
"Koristeno","1933","77000","BMW","X6","Dizel","2015","Automatik","227000","3.0","190","4/5"
"Koristeno","21024","23700","Audi","A6","Dizel","2012","Automatik","347000","2.0","130","4/5"
"Koristeno","1060","","Mercedes-Benz","GLC 250","Dizel","2016","Automatik","215000","2.2","150","4/5"
"Koristeno","4444","45980","Peugeot","5008","Dizel","2019","Automatik","145337","2.0","130","4/5"
"Koristeno","4118","23900","Volkswagen","Tiguan","Dizel","2012","Automatik","230000","2.0","103","4/5"
"Koristeno","50178","185000","Audi","SQ7","Dizel","2020","Automatik","85617","4.0","320","4/5"
"Koristeno","226","6950","Renault","Megane","Dizel","2007","Manuelni","220000","1.5","78","4/5"
"Koristeno","2208","64500","BMW","320","Dizel","2019","Automatik","65000","2.0","144","4/5"
"Koristeno","41730","","Audi","RS7","Benzin","2021","Automatik","25000","4.0","440","4/5"
"Koristeno","165","3999","Volkswagen","Golf","Dizel","2001","Manuelni","300000","1.9","66","4/5"
"Koristeno","2012","","Skoda","Superb","Dizel","2015","Automatik","241000","2.0","140","4/5"
"Koristeno","5700","41400","Mercedes-Benz","E 350","Dizel","2014","Automatik","355000","3.0","185","4/5"
"Koristeno","728","9400","Renault","Megane","Dizel","2010","Manuelni","291000","1.9","96","2/3"
"Koristeno","139","3500","Mercedes-Benz","A 160","Dizel","2002","Manuelni","292000","1.7","55","4/5"
"Koristeno","462","79000","BMW","540","Dizel","2020","Automatik","103000","3.0","235","4/5"
"Koristeno","5512","3500","Fiat","Idea","Benzin","2005","Manuelni","248773","1.4","66","4/5"
"Koristeno","1241","24500","Volkswagen","Golf","Dizel","2015","Manuelni","240749","1.6","77","4/5"
"Novo","757","53586","Skoda","Octavia","Benzin","2024","Manuelni","0","1.5","85","4/5"
"Koristeno","2733","27000","Volkswagen","Tiguan","Dizel","2014","Manuelni","199401","2.0","103","4/5"
"Koristeno","2674","6900","Audi","A3","Dizel","2001","Automatik","289000","1.9","96","4/5"
"Koristeno","15439","13950","Volkswagen","Golf","Benzin","2013","Manuelni","242345","1.2","63","2/3"
"Koristeno","137","","Renault","Clio","Dizel","2001","Manuelni","270000","1.5","48","2/3"
"Koristeno","1245","17700","Volkswagen","Golf","Dizel","2013","Manuelni","241200","1.6","81","4/5"
"Koristeno","1431","","Volkswagen","Golf","Dizel","2011","Manuelni","196000","1.6","77","4/5"
"Koristeno","1917","1400","Peugeot","206","Dizel","2002","Manuelni","3220000","2.0","66","2/3"
"Koristeno","318","30000","BMW","X3","Dizel","2014","Automatik","280000","2.0","140","4/5"
"Koristeno","3829","12750","Peugeot","208","Benzin","2013","Manuelni","230000","1.2","51","4/5"
"Koristeno","960","14900","Seat","Leon","Dizel","2011","Automatik","193000","2.0","125","4/5"
"Koristeno","3465","15200","Mitsubishi","Pajero","Dizel","1989","Manuelni","325000","2.5","63","2/3"
"Koristeno","564","9700","Opel","Meriva","Benzin","2011","Manuelni","157000","1.4","88","4/5"
"Koristeno","379","16350","Volkswagen","Passat","Dizel","2010","Manuelni","211000","2.0","103","4/5"
"Koristeno","2851","11500","BMW","X5","Dizel","2004","Automatik","415000","3.0","160","4/5"
"Koristeno","1986","15600","Volkswagen","Passat CC","Dizel","2009","Manuelni","230111","2.0","103","4/5"
"Koristeno","2666","35500","Land Rover","Range Rover Evoque","Dizel","2014","Automatik","219000","2.2","110","4/5"
"Koristeno","931","","Land Rover","Range Rover Sport","Dizel","2009","Automatik","262000","2.7","140","4/5"
"Koristeno","790","48980","Kia","Sportage","Benzin","2022","Manuelni","41386","1.6","110","4/5"
"Koristeno","1076","13900","Audi","A3","Dizel","2011","Manuelni","230111","1.6","77","4/5"
"Koristeno","9495","12990","Audi","A3","Dizel","2009","Manuelni","212222","2.0","103","4/5"
"Koristeno","3325","9500","Volkswagen","Polo","Dizel","2011","Manuelni","290000","1.2","55","4/5"
"Koristeno","17075","90000","BMW","730","Dizel","2016","Automatik","81000","3.0","195","4/5"
"Koristeno","3123","22900","Audi","A3","Dizel","2013","Manuelni","238000","1.6","81","4/5"
"Koristeno","216","","Skoda","Octavia","Dizel","2015","Manuelni","232000","1.6","77","4/5"
"Koristeno","4427","19900","Mercedes-Benz","C 220","Dizel","2011","Automatik","249000","2.2","88","4/5"
"Koristeno","12999","22500","Ford","Focus","Dizel","2019","Manuelni","180000","1.5","88","4/5"
"Koristeno","2566","","Mercedes-Benz","GLE 450 Coupe","Dizel","2023","Automatik","23000","3.0","270","4/5"
"Koristeno","4161","15700","Audi","A4","Dizel","2009","Automatik","277000","2.0","105","4/5"
"Koristeno","6168","","Peugeot","508","Dizel","2019","Manuelni","172762","1.5","96","4/5"
"Koristeno","13384","16600","Volkswagen","Passat CC","Benzin","2008","Automatik","257000","2.0","147","4/5"
"Koristeno","1640","6850","Opel","Astra","Dizel","2009","Manuelni","262000","1.7","81","4/5"
"Koristeno","15680","36000","Skoda","Octavia","Dizel","2018","Automatik","210221","2.0","110","4/5"
"Koristeno","4916","49900","Audi","A6","Dizel","2017","Automatik","250000","3.0","160","4/5"
"Koristeno","4236","","Mercedes-Benz","E 350","Dizel","2010","Automatik","277000","3.0","195","4/5"
"Novo","494","53234","Skoda","Octavia","Benzin","2024","Manuelni","0","1.5","85","4/5"
"Koristeno","9483","16500","Ford","Kuga","Dizel","2010","Automatik","253900","2.0","120","4/5"
"Koristeno","2481","28300","Audi","Q3","Dizel","2013","Automatik","254000","2.0","130","4/5"
"Koristeno","1526","63000","Mercedes-Benz","S 350","Dizel","2014","Automatik","230000","3.0","190","4/5"
"Koristeno","297","25300","Volkswagen","Passat","Dizel","2018","Automatik","155300","1.6","85","4/5"
"Koristeno","6802","","Nissan","Navara","Dizel","2008","Manuelni","260000","2.5","126","4/5"
"Koristeno","1029","30499","Nissan","Qashqai","Dizel","2016","Manuelni","63663","1.6","96","4/5"
"Koristeno","3518","6900","Volkswagen","Passat","Benzin","2007","Automatik","280000","2.0","147","4/5"
"Koristeno","1055","74900","Land Rover","Range Rover Sport","Dizel","2016","Automatik","222000","3.0","190","4/5"
"Koristeno","288","118000","Audi","A8","Dizel","2019","Automatik","56856","3.0","210","4/5"
"Koristeno","2270","13700","Audi","A3","Dizel","2008","Manuelni","252000","2.0","103","4/5"
"Koristeno","17322","19500","Mercedes-Benz","E 200","Dizel","2011","Automatik","227792","2.2","100","4/5"
"Koristeno","2898","25900","Audi","Q5","Dizel","2012","Manuelni","276223","2.0","105","4/5"
"Koristeno","7448","22900","Mercedes-Benz","C 220","Dizel","2012","Manuelni","211734","2.2","125","4/5"
"Koristeno","2179","16900","BMW","X1","Dizel","2010","Manuelni","264552","2.0","130","4/5"
"Koristeno","3608","77000","Audi","A6","Dizel","2018","Automatik","160000","3.0","210","4/5"
"Koristeno","1311","12900","Audi","A3","Dizel","2009","Manuelni","319000","1.6","77","4/5"
"Koristeno","6202","58000","Alfa Romeo","Stelvio","Dizel","2017","Automatik","170000","2.2","154","4/5"
"Koristeno","1520","53900","Volkswagen","Amarok","Dizel","2016","Automatik","176348","2.0","132","4/5"
"Koristeno","828","13799","Audi","A3","Dizel","2011","Manuelni","232000","1.6","77","4/5"
"Koristeno","2444","16900","BMW","116","Dizel","2012","Manuelni","217000","2.0","85","4/5"
"Koristeno","552","67500","Audi","Q5","Dizel","2020","Automatik","171000","2.0","150","4/5"
"Koristeno","4531","31500","BMW","530","Dizel","2011","Automatik","238000","3.0","190","4/5"
"Koristeno","3814","14200","Skoda","Octavia RS","Dizel","2012","Manuelni","216000","1.6","77","4/5"
"Koristeno","872","69000","Ford","Mustang","Benzin","2017","Manuelni","70559","2.3","233","2/3"
"Koristeno","134","","Peugeot","3008","Dizel","2021","Automatik","96277","1.5","95","4/5"
"Koristeno","3282","21700","Volkswagen","Passat Alltrack","Dizel","2013","Automatik","253000","2.0","130","4/5"
"Koristeno","312","75000","Porsche","Macan","Dizel","2015","Automatik","121000","3.0","190","4/5"
"Koristeno","12838","139000","Mercedes-Benz","S 63 AMG","Benzin","2015","Automatik","169000","5.5","430","2/3"
"Koristeno","12719","12500","Peugeot","308","Dizel","2009","Manuelni","190000","2.0","103","2/3"
"Koristeno","268","23800","Toyota","RAV 4","Dizel","2012","Automatik","156000","2.2","110","4/5"
"Koristeno","5225","19500","Volkswagen","Tiguan","Dizel","2010","Automatik","193000","2.0","103","4/5"
"Koristeno","388","19690","Volkswagen","Caddy","Dizel","2014","Manuelni","276320","2.0","103","4/5"
"Koristeno","1286","30000","Volkswagen","Passat","Dizel","2017","Manuelni","182000","1.6","88","4/5"
"Koristeno","478","2999","Volkswagen","Passat","Dizel","2001","Manuelni","390000","1.9","74","4/5"
"Koristeno","278","","Seat","Alhambra","Dizel","2010","Automatik","277","2.0","103","4/5"
"Koristeno","764","23950","Skoda","Octavia","Dizel","2020","Manuelni","195000","1.6","85","4/5"
"Koristeno","1677","16500","Jaguar","XF","Dizel","2009","Automatik","265000","2.7","152","4/5"
"Koristeno","2080","27900","Audi","Q5","Dizel","2011","Automatik","296000","3.0","160","4/5"
"Koristeno","522","9299","Opel","Meriva","Dizel","2011","Manuelni","205000","1.7","82","4/5"
"Novo","860","63792","Skoda","Octavia","Dizel","2024","Automatik","0","2.0","110","4/5"
"Koristeno","247","9900","Volkswagen","Caddy","Dizel","2005","Manuelni","313","1.9","77","4/5"
"Koristeno","168","15499","Volkswagen","Golf","Dizel","2012","Manuelni","229000","1.6","77","4/5"
"Koristeno","1249","99999","BMW","X5","Dizel","2019","Automatik","180000","3.0","195","4/5"
"Koristeno","227","","Volvo","XC 60","Dizel","2017","Automatik","249085","2.0","140","4/5"
"Koristeno","33758","23300","Mazda","3","Dizel","2015","Automatik","150000","2.2","110","4/5"
"Koristeno","1515","7400","Ford","Focus","Dizel","2010","Manuelni","245000","1.6","80","4/5"
"Koristeno","2791","30800","Volkswagen","Passat","Dizel","2018","Manuelni","171235","1.6","88","4/5"
"Koristeno","1618","21000","Citroen","C4 Aircross","Dizel","2013","Manuelni","230000","1.6","86","4/5"
