Stanje,Pregledi,Cijena,Proizvodjac,Model,Gorivo,Godiste,Transmisija,Kilometraza,Kubikaza,Snaga motora (KW),Broj vrata
Koristeno,6115.0,14950,Audi,A3,Dizel,2011.0,Manuelni,246854,1.6,77.0,4/5
Koristeno,5551.0,,Volkswagen,Passat,Dizel,2012.0,Automatik,245212,2.0,125.0,4/5
Koristeno,1162.0,19450,Skoda,Octavia,Dizel,2015.0,Automatik,238000,1.6,81.0,4/5
Koristeno,1461.0,16900,Skoda,Octavia,Dizel,2015.0,Manuelni,218177,1.6,77.0,4/5
Koristeno,654.0,8990,Citroen,C3,Dizel,2011.0,Manuelni,207000,1.4,50.0,4/5
Koristeno,1109.0,21850,Peugeot,2008,Dizel,2019.0,Manuelni,168000,1.5,75.0,4/5
Koristeno,1835.0,9600,Volkswagen,Polo,Dizel,2013.0,Manuelni,240000,1.2,55.0,2/3
Koristeno,4986.0,16400,Volkswagen,Touran,Dizel,2012.0,Automatik,290000,1.6,77.0,4/5
Koristeno,4987.0,16400,Volkswagen,Touran,Dizel,2012.0,Automatik,290000,1.6,77.0,4/5
Koristeno,101.0,1850,Peugeot,306,Dizel,2001.0,Manuelni,213000,2.0,66.0,4/5
Koristeno,16008.0,63000,Mercedes-Benz,GLE 350,Dizel,2015.0,Automatik,157000,3.0,190.0,4/5
Koristeno,418.0,19999,Volkswagen,Tiguan,Dizel,2010.0,Manuelni,244555,2.0,103.0,4/5
Koristeno,97.0,6500,Renault,Clio,Dizel,2007.0,Manuelni,259000,1.5,63.0,4/5
Koristeno,4406.0,16900,Ford,Kuga,Dizel,2010.0,Manuelni,224339,2.0,103.0,4/5
Koristeno,260.0,15350,Volkswagen,Tiguan,Dizel,2010.0,Manuelni,291000,2.0,105.0,4/5
Koristeno,27334.0,,BMW,530,Dizel,2019.0,Automatik,207000,3.0,183.0,4/5
Koristeno,943.0,11400,Skoda,Octavia,Dizel,2011.0,Manuelni,223546,1.6,77.0,4/5
Koristeno,1494.0,9699,Renault,Megane,Dizel,2011.0,Manuelni,305000,1.5,81.0,4/5
Koristeno,225.0,4650,Volkswagen,Passat,Dizel,2003.0,Manuelni,276288,1.9,74.0,4/5
Koristeno,11202.0,,Volkswagen,Golf,Dizel,2021.0,Automatik,201000,2.0,85.0,4/5
Koristeno,4269.0,16500,Audi,A4,Dizel,2009.0,Manuelni,272000,2.0,125.0,4/5
Koristeno,1535.0,17900,Land Rover,Freelander,Dizel,2010.0,Automatik,233751,2.2,112.0,4/5
Koristeno,2179.0,90000,Audi,A7,Dizel,2018.0,Automatik,110000,3.0,210.0,4/5
Koristeno,421.0,17500,Hyundai,ix35,Dizel,2011.0,Manuelni,221131,1.7,85.0,4/5
